POSITION,NAME,HANDICAP,POINTS
1st,Billy Archbold,22,34
2nd,Oisin Tyrell,22,33
3rd,Luke Smith,16,31
4th,Gearoid Comber,20,29
5th,David Benn,24,27
6th,Tiarnan O'Brien,28,22
